,Address,Ins,Outs,Balance,Label,In_amount,Out_amount,Total,First_in,Last_in,First_out,Last_out,Address_length,Percentage,Diff,Percentage_ins,Percentage_outs,Percentage_diff,Interval_in,Interval_out,Interval_diff,Interval_first,Interval_in_days,Interval_out_days,Interval_first_days,Avg_acc_in,Avg_acc_out,Diff_avg_acc,Last_transaction,Interval_from_last_tx,Interval_from_last_tx_days,Last_future,genesis,First in,genesis_to_first_in,genesis_to_first_in_days
0,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,724.0,449.0,252597,Exchange,1190374.94564073,937777.70926608,1173.0,2018-10-18 14:59:00,2022-06-20 20:49:00,2018-10-18 15:19:00,2022-01-27 20:01:00,34,1.3230563215423312,275.0,61.72208013640239,38.27791986359762,23.444160272804773,1341 days 05:50:00.000000000,1197 days 04:42:00.000000000,144 days 01:08:00.000000000,0 days 00:20:00.000000000,1341.0,1197.0,0.0,887.6770661004698,783.4400244495239,104.23704165094591,2022-06-20 20:49:00,21 days 20:11:00.000000000,21.0,False,2009-01-03 00:00:00,2018-10-18 14:59:00,3575 days 14:59:00.000000000,3575.0
1,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,96.0,78.0,168010,Exchange,3561658.95006874,3393648.96417153,174.0,2019-08-16 12:00:00,2022-07-04 01:27:00,2020-02-02 18:43:00,2021-11-12 14:40:00,62,0.8800052755271324,18.0,55.172413793103445,44.827586206896555,10.344827586206897,1052 days 13:27:00.000000000,648 days 19:57:00.000000000,403 days 17:30:00.000000000,170 days 06:43:00.000000000,1052.0,648.0,170.0,3385.6073669854945,5237.112599030139,-1851.5052320446443,2022-07-04 01:27:00,8 days 15:33:00.000000000,8.0,False,2009-01-03 00:00:00,2019-08-16 12:00:00,3877 days 12:00:00.000000000,3877.0
2,1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,762.0,82.0,132324,,231985.42840427,99661.88448603,844.0,2019-02-06 03:18:00,2022-07-06 01:40:00,2019-02-10 22:58:00,2022-06-09 23:29:00,34,0.6930886142423205,680.0,90.28436018957346,9.715639810426541,80.56872037914692,1245 days 22:22:00.000000000,1215 days 00:31:00.000000000,30 days 21:51:00.000000000,4 days 19:40:00.000000000,1245.0,1215.0,4.0,186.3336774331486,82.02624237533334,104.30743505781527,2022-07-06 01:40:00,6 days 15:20:00.000000000,6.0,False,2009-01-03 00:00:00,2019-02-06 03:18:00,3686 days 03:18:00.000000000,3686.0
3,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,45.0,0.0,125351,Exchange,125351.13665929,0.0,45.0,2019-06-17 13:52:00,2022-06-13 22:41:00,,,34,0.6565653311862483,45.0,100.0,0.0,100.0,1092 days 08:49:00.000000000,,,,1092.0,,,114.79041818616301,,,2022-06-13 22:41:00,28 days 18:19:00.000000000,28.0,False,2009-01-03 00:00:00,2019-06-17 13:52:00,3817 days 13:52:00.000000000,3817.0
4,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,198.0,196.0,101266,Exchange,1908738.66090492,1807472.66090492,394.0,2018-11-13 15:11:00,2022-06-18 15:28:00,2018-11-13 15:11:00,2022-06-16 01:47:00,34,0.5304125601543396,2.0,50.25380710659898,49.746192893401016,0.5076142131979695,1313 days 00:17:00.000000000,1310 days 10:36:00.000000000,2 days 13:41:00.000000000,0 days 00:00:00.000000000,1313.0,1310.0,0.0,1453.723275632079,1379.750122828183,73.97315280389603,2022-06-18 15:28:00,24 days 01:32:00.000000000,24.0,False,2009-01-03 00:00:00,2018-11-13 15:11:00,3601 days 15:11:00.000000000,3601.0
5,bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,45.0,0.0,94643,,94643.30460205,0.0,45.0,2022-02-01 05:14:00,2022-07-09 06:59:00,,,42,0.4957225123011392,45.0,100.0,0.0,100.0,158 days 01:45:00.000000000,,,,158.0,,,599.008256975,,,2022-07-09 06:59:00,3 days 10:01:00.000000000,3.0,False,2009-01-03 00:00:00,2022-02-01 05:14:00,4777 days 05:14:00.000000000,4777.0
6,37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,133.0,2.0,94505,,94506.06038446,0.71840334,135.0,2019-09-06 05:30:00,2022-06-03 16:56:00,2021-07-04 05:56:00,2021-07-04 06:10:00,34,0.49499969384972115,131.0,98.51851851851852,1.4814814814814816,97.03703703703704,1001 days 11:26:00.000000000,0 days 00:14:00.000000000,1001 days 11:12:00.000000000,667 days 00:26:00.000000000,1001.0,0.0,667.0,94.41164873572427,inf,-inf,2022-06-03 16:56:00,39 days 00:04:00.000000000,39.0,False,2009-01-03 00:00:00,2019-09-06 05:30:00,3898 days 05:30:00.000000000,3898.0
7,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,425.0,0.0,79957,,79957.21864214,0.0,425.0,2011-03-01 11:26:00,2022-07-09 06:59:00,,,34,0.4187999631886371,425.0,100.0,0.0,100.0,4147 days 19:33:00.000000000,,,,4147.0,,,19.28073755537497,,,2022-07-09 06:59:00,3 days 10:01:00.000000000,3.0,False,2009-01-03 00:00:00,2011-03-01 11:26:00,787 days 11:26:00.000000000,787.0
8,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,47.0,0.0,69370,,69370.17661874,0.0,47.0,2020-11-03 22:31:00,2022-06-17 00:52:00,,,42,0.36334721720919694,47.0,100.0,0.0,100.0,590 days 02:21:00.000000000,,,,590.0,,,117.5765705402373,,,2022-06-17 00:52:00,25 days 16:08:00.000000000,25.0,False,2009-01-03 00:00:00,2020-11-03 22:31:00,4322 days 22:31:00.000000000,4322.0
9,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,19.0,0.0,64300,,64300.0001455,0.0,19.0,2021-10-11 14:39:00,2022-06-17 00:52:00,,,62,0.3367914958418821,19.0,100.0,0.0,100.0,248 days 10:13:00.000000000,,,,248.0,,,259.2741941350807,,,2022-06-17 00:52:00,25 days 16:08:00.000000000,25.0,False,2009-01-03 00:00:00,2021-10-11 14:39:00,4664 days 14:39:00.000000000,4664.0
