,Address,Ins,Outs,Balance,Label,In_amount,Out_amount,Total,First_in,Last_in,First_out,Last_out,Address_length,Percentage,Diff,Percentage_ins,Percentage_outs,Percentage_diff,Interval_in,Interval_out,Interval_diff,Interval_first,Interval_in_days,Interval_out_days,Interval_first_days,Avg_acc_in,Avg_acc_out,Diff_avg_acc,Last_transaction,Interval_from_last_tx,Interval_from_last_tx_days,Last_future,genesis,First in,genesis_to_first_in,genesis_to_first_in_days
1,DBs4WcRE7eysKwRxHNX88XZVCQ9M6QSUSz,313.0,72.0,29161940000.0,Exchange,42620987112.225,13459043074.0,385.0,2021-02-06 20:20:00,2022-06-03 20:36:00,2021-04-12 09:14:00,2022-06-23 20:36:00,34,21.980809527398808,241.0,81.2987012987013,18.7012987012987,62.5974025974026,482 days 00:16:00.000000000,437 days 11:22:00.000000000,44 days 12:54:00.000000000,64 days 12:54:00.000000000,482.0,437.0,64.0,88425284.46519709,30798725.56979405,57626558.895403035,2022-06-23 20:36:00,18 days 20:24:00.000000000,18.0,False,2013-12-06 00:00:00,2021-02-06 20:20:00,2619 days 20:20:00.000000000,2619.0
2,DE5opaXjFgDhFBqL6tBDxTAQ56zkX6EToX,276.0,229.0,7247474403.0,Exchange,38936381328.429565,31688906925.386364,505.0,2019-07-17 09:41:00,2022-07-01 13:36:00,2019-07-17 10:27:00,2022-06-25 01:55:00,34,5.462783148413356,47.0,54.65346534653466,45.34653465346535,9.306930693069306,1080 days 03:55:00.000000000,1073 days 15:28:00.000000000,6 days 12:27:00.000000000,0 days 00:46:00.000000000,1080.0,1073.0,0.0,36052204.93373108,29532998.066529695,6519206.867201384,2022-07-01 13:36:00,11 days 03:24:00.000000000,11.0,False,2013-12-06 00:00:00,2019-07-17 09:41:00,2049 days 09:41:00.000000000,2049.0
3,DRSqEwcnJX3GZWH9Twtwk8D5ewqdJzi13k,6024.0,5928.0,6850847195.0,,6013217937.72265,837629257.7746412,11952.0,2019-09-24 03:35:00,2022-07-06 04:08:00,2019-11-11 10:48:00,2022-06-26 04:41:00,34,5.163825427753071,96.0,50.401606425702816,49.59839357429719,0.8032128514056224,1016 days 00:33:00.000000000,957 days 17:53:00.000000000,58 days 06:40:00.000000000,48 days 07:13:00.000000000,1016.0,957.0,48.0,5918521.592246702,875265.6821051632,5043255.910141539,2022-07-06 04:08:00,6 days 12:52:00.000000000,6.0,False,2013-12-06 00:00:00,2019-09-24 03:35:00,2118 days 03:35:00.000000000,2118.0
4,DNgY1uss7Q7LkSewUXWiRhwBFk5N84aF71,78.0,16.0,5443867629.0,Exchange,7962395101.452212,2518527472.0,94.0,2021-03-30 00:28:00,2022-06-07 21:09:00,2021-05-09 15:16:00,2021-10-28 19:27:00,34,4.10331471244441,62.0,82.97872340425532,17.02127659574468,65.95744680851064,434 days 20:41:00.000000000,172 days 04:11:00.000000000,262 days 16:30:00.000000000,40 days 14:48:00.000000000,434.0,172.0,40.0,18346532.491825376,14642601.581395349,3703930.910430027,2022-06-07 21:09:00,34 days 19:51:00.000000000,34.0,False,2013-12-06 00:00:00,2021-03-30 00:28:00,2671 days 00:28:00.000000000,2671.0
5,DDTtqnuZ5kfRT5qh2c7sNtqrJmV3iXYdGG,592.0,1.0,5031001896.0,Exchange,5032001896.082205,999999.9,593.0,2014-01-11 10:15:00,2022-06-01 03:03:00,2014-01-13 11:26:00,2014-01-13 11:26:00,34,3.7921172050953493,591.0,99.83136593591905,0.16863406408094433,99.6627318718381,3062 days 16:48:00.000000000,0 days 00:00:00.000000000,3062 days 16:48:00.000000000,2 days 01:11:00.000000000,3062.0,0.0,2.0,1643370.9654089499,inf,-inf,2022-06-01 03:03:00,41 days 13:57:00.000000000,41.0,False,2013-12-06 00:00:00,2014-01-11 10:15:00,36 days 10:15:00.000000000,36.0
6,DH5yaieqoZN36fDVciNyRueRGvGLR3mr7L,1261.0,98.0,2532571944.0,Exchange,55812851353.60029,53280279409.34333,1359.0,2019-02-06 03:04:00,2022-04-21 14:14:00,2019-02-10 21:12:00,2022-06-06 23:05:00,34,1.908925864174267,1163.0,92.7888153053716,7.211184694628403,85.5776306107432,1170 days 11:10:00.000000000,1212 days 01:53:00.000000000,-42 days +09:17:00.000000000,4 days 18:08:00.000000000,1170.0,1212.0,4.0,47703291.755213924,43960626.57536578,3742665.179848142,2022-06-06 23:05:00,35 days 17:55:00.000000000,35.0,False,2013-12-06 00:00:00,2019-02-06 03:04:00,1888 days 03:04:00.000000000,1888.0
7,DGottmgfevJzhhfmvGdA2JpMjMJ1DsSKjJ,7.0,6.0,2381615532.0,Exchange,2381615537.9938173,6.04121222,13.0,2022-01-27 15:01:00,2022-02-09 03:57:00,2022-04-25 17:17:00,2022-04-25 17:17:00,34,1.7951424828521898,1.0,53.84615384615385,46.15384615384615,7.6923076923076925,12 days 12:56:00.000000000,0 days 00:00:00.000000000,12 days 12:56:00.000000000,88 days 02:16:00.000000000,12.0,0.0,88.0,198467961.49948478,inf,-inf,2022-04-25 17:17:00,77 days 23:43:00.000000000,77.0,False,2013-12-06 00:00:00,2022-01-27 15:01:00,2974 days 15:01:00.000000000,2974.0
8,DDogepartyxxxxxxxxxxxxxxxxxxw1dfzr,3364.0,0.0,1854583757.0,,1854583756.8710945,0.0,3364.0,2014-08-12 19:30:00,2022-07-05 16:59:00,,,34,1.3978923321022085,3364.0,100.0,0.0,100.0,2883 days 21:29:00.000000000,,,,2883.0,,,643282.607308739,,,2022-07-05 16:59:00,7 days 00:01:00.000000000,7.0,False,2013-12-06 00:00:00,2014-08-12 19:30:00,249 days 19:30:00.000000000,249.0
9,DGmzv39riELTuigZCUD6sWoHEHPdSbxdUB,23.0,0.0,1400000007.0,Exchange,1400000006.9212122,0.0,23.0,2022-05-23 12:48:00,2022-06-20 21:59:00,,,34,1.0552498733700157,23.0,100.0,0.0,100.0,28 days 09:11:00.000000000,,,,28.0,,,50000000.24718615,,,2022-06-20 21:59:00,21 days 19:01:00.000000000,21.0,False,2013-12-06 00:00:00,2022-05-23 12:48:00,3090 days 12:48:00.000000000,3090.0
10,DHQsfy66JsYSnwjCABFN6NNqW4kHQe63oU,172.0,162.0,1332376871.0,,4946581074.527904,3614204203.2028008,334.0,2022-05-09 23:06:00,2022-07-11 21:57:00,2022-05-20 18:43:00,2022-07-11 19:16:00,34,1.0042789409813824,10.0,51.49700598802395,48.50299401197605,2.9940119760479043,62 days 22:51:00.000000000,52 days 00:33:00.000000000,10 days 22:18:00.000000000,10 days 19:37:00.000000000,62.0,52.0,10.0,79783565.718192,69503926.98466924,10279638.733522758,2022-07-11 21:57:00,0 days 19:03:00.000000000,0.0,False,2013-12-06 00:00:00,2022-05-09 23:06:00,3076 days 23:06:00.000000000,3076.0
11,DTXwWCTpM6pP7NtqquiMdBE385AuW1desV,8.0,0.0,1270009977.0,,1270009976.6500926,0.0,8.0,2022-01-14 07:48:00,2022-01-27 03:38:00,,,34,0.9572699005050124,8.0,100.0,0.0,100.0,12 days 19:50:00.000000000,,,,12.0,,,105834164.72084105,,,2022-01-27 03:38:00,166 days 13:22:00.000000000,166.0,False,2013-12-06 00:00:00,2022-01-14 07:48:00,2961 days 07:48:00.000000000,2961.0
12,D9a1Ah7mUNAJwNqHPER4DN9zNLoqcYFDZW,33.0,0.0,1000010007.0,,1000010007.0612123,0.0,33.0,2016-06-13 17:13:00,2022-05-09 04:17:00,,,34,0.7537574485565689,33.0,100.0,0.0,100.0,2155 days 11:04:00.000000000,,,,2155.0,,,464041.76661773195,,,2022-05-09 04:17:00,64 days 12:43:00.000000000,64.0,False,2013-12-06 00:00:00,2016-06-13 17:13:00,920 days 17:13:00.000000000,920.0
13,D8WhgsmFUkf4imvsrwYjdhXL45LPz3bS1S,14.0,1.0,1000000039.0,Exchange,1000000040.7286316,2.0,15.0,2018-02-22 19:38:00,2021-12-29 05:21:00,2018-03-29 20:14:00,2018-03-29 20:14:00,34,0.7537499351775081,13.0,93.33333333333333,6.666666666666667,86.66666666666667,1405 days 09:43:00.000000000,0 days 00:00:00.000000000,1405 days 09:43:00.000000000,35 days 00:36:00.000000000,1405.0,0.0,35.0,711743.8012303428,inf,-inf,2021-12-29 05:21:00,195 days 11:39:00.000000000,195.0,False,2013-12-06 00:00:00,2018-02-22 19:38:00,1539 days 19:38:00.000000000,1539.0
14,D5zikmZbvK6ReZSFPDVGusqP3qKcJTjo4r,31.0,8.0,1000000028.0,,2739991373.421594,1739991345.0,39.0,2021-02-25 01:47:00,2021-12-29 05:21:00,2021-04-14 04:23:00,2021-10-13 01:46:00,34,0.7537499268862592,23.0,79.48717948717949,20.51282051282051,58.97435897435898,307 days 03:34:00.000000000,181 days 21:23:00.000000000,125 days 06:11:00.000000000,48 days 02:36:00.000000000,307.0,181.0,48.0,8925053.333620828,9613211.85082873,-688158.5172079019,2021-12-29 05:21:00,195 days 11:39:00.000000000,195.0,False,2013-12-06 00:00:00,2021-02-25 01:47:00,2638 days 01:47:00.000000000,2638.0
15,DEwbsuaPFeHtRKZKxUcxYqttroE4tXkMov,31.0,13.0,1000000027.0,Exchange,3215332543.041212,2215332516.0,44.0,2021-03-09 23:30:00,2021-12-29 05:21:00,2021-04-12 09:13:00,2021-10-27 02:19:00,34,0.7537499261325092,18.0,70.45454545454545,29.545454545454547,40.909090909090914,294 days 05:51:00.000000000,197 days 17:06:00.000000000,96 days 12:45:00.000000000,33 days 09:43:00.000000000,294.0,197.0,33.0,10936505.248439496,11245342.720812183,-308837.4723726865,2021-12-29 05:21:00,195 days 11:39:00.000000000,195.0,False,2013-12-06 00:00:00,2021-03-09 23:30:00,2650 days 23:30:00.000000000,2650.0
16,DHPVTGcxbaqPkodQ5vj6h6uDJrkf4Sg9r2,27.0,9.0,1000000021.0,Exchange,2694380245.041212,1694380224.0,36.0,2021-03-12 00:27:00,2021-12-29 05:21:00,2021-05-07 03:17:00,2021-10-28 19:27:00,34,0.7537499216100099,18.0,75.0,25.0,50.0,292 days 04:54:00.000000000,174 days 16:10:00.000000000,117 days 12:44:00.000000000,56 days 02:50:00.000000000,292.0,174.0,56.0,9227329.606305521,9737817.379310345,-510487.7730048243,2021-12-29 05:21:00,195 days 11:39:00.000000000,195.0,False,2013-12-06 00:00:00,2021-03-12 00:27:00,2653 days 00:27:00.000000000,2653.0
17,DHP3EmUAhAvWD8w4VTgn4FH37cduDhgKAA,28.0,11.0,1000000007.0,Exchange,2803884572.041212,1803884565.0,39.0,2021-03-25 23:19:00,2021-12-29 05:21:00,2021-04-12 09:14:00,2021-10-28 18:25:00,34,0.7537499110575111,17.0,71.7948717948718,28.205128205128204,43.58974358974359,278 days 06:02:00.000000000,199 days 09:11:00.000000000,78 days 20:51:00.000000000,17 days 09:55:00.000000000,278.0,199.0,17.0,10085915.72676695,9064746.557788944,1021169.1689780056,2021-12-29 05:21:00,195 days 11:39:00.000000000,195.0,False,2013-12-06 00:00:00,2021-03-25 23:19:00,2666 days 23:19:00.000000000,2666.0
18,DPEzPFx1YAg2AndcYXD9ouPiNT5izSgeHL,46.0,43.0,995000862.0,,51883552460.12671,50888551598.071205,89.0,2019-01-09 01:28:00,2022-03-25 04:04:00,2019-01-10 00:14:00,2021-12-29 21:32:00,34,0.7499818059847743,3.0,51.68539325842697,48.31460674157304,3.3707865168539324,1171 days 02:36:00.000000000,1084 days 21:18:00.000000000,86 days 05:18:00.000000000,0 days 22:46:00.000000000,1171.0,1084.0,0.0,44307047.36133792,46945158.30080369,-2638110.9394657686,2022-03-25 04:04:00,109 days 12:56:00.000000000,109.0,False,2013-12-06 00:00:00,2019-01-09 01:28:00,1860 days 01:28:00.000000000,1860.0
19,DJVeRemZM842GmvT6WR3PzVkqhqCEUGsDH,122.0,23.0,915400007.0,,1129899440.4412124,214499433.4,145.0,2017-10-14 02:54:00,2021-12-29 05:22:00,2018-01-07 16:36:00,2018-11-14 02:24:00,34,0.6899826690284163,99.0,84.13793103448276,15.862068965517242,68.27586206896552,1537 days 02:28:00.000000000,310 days 09:48:00.000000000,1226 days 16:40:00.000000000,85 days 13:42:00.000000000,1537.0,310.0,85.0,735133.0126488045,691933.6561290323,43199.356519772206,2021-12-29 05:22:00,195 days 11:38:00.000000000,195.0,False,2013-12-06 00:00:00,2017-10-14 02:54:00,1408 days 02:54:00.000000000,1408.0
20,DLCDJhnh6aGotar6b182jpzbNEyXb3C361,241276.0,231977.0,883894947.0,,1887265608.2089238,1004291196.2950103,473253.0,2018-04-22 01:43:00,2022-07-12 13:41:00,2018-04-22 01:46:00,2022-07-12 13:41:00,34,0.6662357330217834,9299.0,50.98245547307677,49.01754452692323,1.9649109461535375,1542 days 11:58:00.000000000,1542 days 11:55:00.000000000,0 days 00:03:00.000000000,0 days 00:03:00.000000000,1542.0,1542.0,0.0,1223907.6577230375,651291.3075843127,572616.3501387248,2022-07-12 13:41:00,0 days 03:19:00.000000000,0.0,False,2013-12-06 00:00:00,2018-04-22 01:43:00,1598 days 01:43:00.000000000,1598.0
21,DTxYRT58AY4rQ5E18PfGzSKaQt6aNjsAxD,2.0,0.0,800000001.0,,800000001.0,0.0,2.0,2022-06-27 19:27:00,2022-06-27 20:01:00,,,34,0.6029999253787593,2.0,100.0,0.0,100.0,0 days 00:34:00.000000000,,,,0.0,,,inf,,,2022-06-27 20:01:00,14 days 20:59:00.000000000,14.0,False,2013-12-06 00:00:00,2022-06-27 19:27:00,3125 days 19:27:00.000000000,3125.0
22,D9FV7Ka27RVzS9NPBx3H57TUVi1hb4QS64,6.0,0.0,753279806.0,,753279806.4896266,0.0,6.0,2022-02-17 22:42:00,2022-03-10 02:55:00,,,34,0.5677845827994271,6.0,100.0,0.0,100.0,20 days 04:13:00.000000000,,,,20.0,,,37663990.32448133,,,2022-03-10 02:55:00,124 days 14:05:00.000000000,124.0,False,2013-12-06 00:00:00,2022-02-17 22:42:00,2995 days 22:42:00.000000000,2995.0
23,D6LKpBFJaf6moGenC39eXEjzAqLzYiTfdz,36.0,9.0,712965174.0,,1162965174.0673892,450000000.0,45.0,2020-12-25 12:40:00,2021-12-29 05:24:00,2021-01-28 22:27:00,2021-01-28 22:27:00,34,0.5373974327278209,27.0,80.0,20.0,60.0,368 days 16:44:00.000000000,0 days 00:00:00.000000000,368 days 16:44:00.000000000,34 days 09:47:00.000000000,368.0,0.0,34.0,3160231.4512700797,inf,-inf,2021-12-29 05:24:00,195 days 11:36:00.000000000,195.0,False,2013-12-06 00:00:00,2020-12-25 12:40:00,2576 days 12:40:00.000000000,2576.0
