,Address,Total,Balance,Label,Outs,Ins,In_amount,Out_amount,First_in,Last_in,First_out,Last_out,Address_length,Percentage,Diff,Percentage_ins,Percentage_outs,Percentage_diff,Interval_in,Interval_out,Interval_diff,Interval_first,Interval_in_days,Interval_out_days,Interval_first_days,Avg_acc_in,Avg_acc_out,Diff_avg_acc,Last_transaction,Interval_from_last_tx,Interval_from_last_tx_days,Last_future,genesis,First in,genesis_to_first_in,genesis_to_first_in_days
0,0x00000000219ab540356cbb839cbe05303d7705fa,20603,13022805.000069,,0,20603,13022981.000069,0.0,2020-11-20 15:03:00,2022-07-12 15:03:00,,,42,10.716872657377365,20603,100.0,0.0,100.0,599 days 00:00:00.000000000,,,,599.0,,,21741.20367290317,,,2022-07-12 15:03:00,0 days 01:57:00.000000000,0.0,False,2015-07-30 00:00:00,2020-11-20 15:03:00,1940 days 15:03:00.000000000,1940.0
2,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,68,2113030.00445455,Exchange,1,67,2113030.0544545576,0.044865499999999996,2021-03-23 00:55:00,2022-07-12 11:44:00,2021-03-31 21:17:00,2021-03-31 21:17:00,42,1.7388783352616393,66,98.52941176470588,1.4705882352941175,97.05882352941177,476 days 10:49:00.000000000,0 days 00:00:00.000000000,476 days 10:49:00.000000000,8 days 20:22:00.000000000,476.0,0.0,8.0,4439.138769862516,inf,-inf,2022-07-12 11:44:00,0 days 05:16:00.000000000,0.0,False,2015-07-30 00:00:00,2021-03-23 00:55:00,2063 days 00:55:00.000000000,2063.0
3,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,1093,1996008.27987735,Exchange,962,131,6752538.403171878,4756526.331855607,2018-09-28 03:38:00,2022-05-21 21:16:00,2018-10-21 12:19:00,2022-05-30 03:20:00,42,1.6425775060290821,-831,11.985361390667887,88.01463860933212,-76.02927721866422,1331 days 17:38:00.000000000,1316 days 15:01:00.000000000,15 days 02:37:00.000000000,23 days 08:41:00.000000000,1331.0,1316.0,23.0,5073.282045959338,3614.3817111364797,1458.900334822858,2022-05-30 03:20:00,43 days 13:40:00.000000000,43.0,False,2015-07-30 00:00:00,2018-09-28 03:38:00,1156 days 03:38:00.000000000,1156.0
4,0x73bceb1cd57c711feac4224d062b0f6ff338501e,513,1944286.01128049,,104,409,2631147.539967664,686860.77220417,2019-02-06 02:04:00,2022-07-06 06:35:00,2019-02-10 21:23:00,2022-06-24 21:36:00,42,1.6000136370238809,305,79.72709551656921,20.2729044834308,59.4541910331384,1246 days 04:31:00.000000000,1230 days 00:13:00.000000000,16 days 04:18:00.000000000,4 days 19:19:00.000000000,1246.0,1230.0,4.0,2111.675393232475,558.4233920359105,1553.2520011965644,2022-07-06 06:35:00,6 days 10:25:00.000000000,6.0,False,2015-07-30 00:00:00,2019-02-06 02:04:00,1287 days 02:04:00.000000000,1287.0
5,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,105,1490000.0181027001,,0,105,1490000.018102709,0.0,2019-11-12 02:52:00,2022-07-04 06:46:00,,,42,1.2261675156321543,105,100.0,0.0,100.0,965 days 03:54:00.000000000,,,,965.0,,,1544.041469536486,,,2022-07-04 06:46:00,8 days 10:14:00.000000000,8.0,False,2015-07-30 00:00:00,2019-11-12 02:52:00,1566 days 02:52:00.000000000,1566.0
6,0x742d35cc6634c0532925a3b844bc454e4438f44e,17125,1271479.88900447,Exchange,2045,15080,21894787.258988343,20615619.403653987,2018-04-28 15:28:00,2022-07-11 13:33:00,2018-04-28 15:43:00,2022-07-11 21:03:00,42,1.0463404817015238,13035,88.05839416058394,11.94160583941606,76.11678832116789,1534 days 22:05:00.000000000,1535 days 05:20:00.000000000,-1 days +16:45:00.000000000,0 days 00:15:00.000000000,1534.0,1535.0,0.0,14273.003428284448,13430.370947005855,842.6324812785933,2022-07-11 21:03:00,0 days 19:57:00.000000000,0.0,False,2015-07-30 00:00:00,2018-04-28 15:28:00,1003 days 15:28:00.000000000,1003.0
7,0x07ee55aa48bb72dcc6e9d78256648910de513eca,1233,773995.27049071,Exchange,0,1233,7663996.347131718,6900001.076641001,2016-08-08 17:51:00,2022-07-08 16:41:00,,,42,0.636944863354503,1233,100.0,0.0,100.0,2159 days 22:50:00.000000000,,,,2159.0,,,3549.7898782453535,,,2022-07-08 16:41:00,4 days 00:19:00.000000000,4.0,False,2015-07-30 00:00:00,2016-08-08 17:51:00,375 days 17:51:00.000000000,375.0
8,0xf977814e90da44bfa03b6295a0616a897441acec,8696,678420.83172747,Exchange,8582,114,846664.0004842399,430000.0,2019-07-09 14:49:00,2022-06-20 06:28:00,2019-07-09 14:54:00,2022-07-12 15:32:00,42,0.5582936749568784,-8468,1.3109475620975162,98.68905243790248,-97.37810487580496,1076 days 15:39:00.000000000,1099 days 00:38:00.000000000,-23 days +15:01:00.000000000,0 days 00:05:00.000000000,1076.0,1099.0,0.0,786.8624539816356,391.26478616924476,395.5976678123908,2022-07-12 15:32:00,0 days 01:28:00.000000000,0.0,False,2015-07-30 00:00:00,2019-07-09 14:49:00,1440 days 14:49:00.000000000,1440.0
9,0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,50,662302.30707891,,0,50,1436556.122846114,774102.643432135,2021-12-22 18:11:00,2022-01-05 00:47:00,,,42,0.545029237987846,50,100.0,0.0,100.0,13 days 06:36:00.000000000,,,,13.0,,,110504.31714200877,,,2022-01-05 00:47:00,188 days 16:13:00.000000000,188.0,False,2015-07-30 00:00:00,2021-12-22 18:11:00,2337 days 18:11:00.000000000,2337.0
12,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,283936,521489.0316658,,0,283936,85473177.99859239,84949597.86972779,2019-05-07 15:48:00,2022-07-12 15:48:00,,,42,0.4291495990726882,283936,100.0,0.0,100.0,1162 days 00:00:00.000000000,,,,1162.0,,,73556.95180601755,,,2022-07-12 15:48:00,0 days 01:12:00.000000000,0.0,False,2015-07-30 00:00:00,2019-05-07 15:48:00,1377 days 15:48:00.000000000,1377.0
13,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,351,479498.95358134,Exchange,0,351,2899505.10283434,2420006.149253,2016-06-27 15:58:00,2022-06-25 21:09:00,,,42,0.3945946533676649,351,100.0,0.0,100.0,2189 days 05:11:00.000000000,,,,2189.0,,,1324.579763743417,,,2022-06-25 21:09:00,16 days 19:51:00.000000000,16.0,False,2015-07-30 00:00:00,2016-06-27 15:58:00,333 days 15:58:00.000000000,333.0
15,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,55,358232.00105887,,0,55,275467.6918729432,254406.01962019395,2021-04-05 08:22:00,2022-01-04 11:56:00,,,42,0.2948002935715494,55,100.0,0.0,100.0,274 days 03:34:00.000000000,,,,274.0,,,1005.3565396822744,,,2022-01-04 11:56:00,189 days 05:04:00.000000000,189.0,False,2015-07-30 00:00:00,2021-04-05 08:22:00,2076 days 08:22:00.000000000,2076.0
17,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,942,343270.35590318,,0,942,11918275.542629622,11575005.186726434,2015-08-08 15:44:00,2022-06-27 15:28:00,,,42,0.2824878888417276,942,100.0,0.0,100.0,2514 days 23:44:00.000000000,,,,2514.0,,,4740.761950131115,,,2022-06-27 15:28:00,15 days 01:32:00.000000000,15.0,False,2015-07-30 00:00:00,2015-08-08 15:44:00,9 days 15:44:00.000000000,9.0
19,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,67,323685.14513651,,0,67,3295419.6583960555,2974284.9410855626,2020-08-26 10:32:00,2022-02-18 19:17:00,,,42,0.2663706076758662,67,100.0,0.0,100.0,541 days 08:45:00.000000000,,,,541.0,,,6091.348721619326,,,2022-02-18 19:17:00,143 days 21:43:00.000000000,143.0,False,2015-07-30 00:00:00,2020-08-26 10:32:00,1854 days 10:32:00.000000000,1854.0
20,0x3bfc20f0b9afcace800d73d2191166ff16540258,171,306276.63536139,,0,171,337411.6363613999,31135.001,2017-09-14 20:11:00,2022-02-16 03:17:00,,,42,0.2520446016876262,171,100.0,0.0,100.0,1615 days 07:06:00.000000000,,,,1615.0,,,208.92361384606804,,,2022-02-16 03:17:00,146 days 13:43:00.000000000,146.0,False,2015-07-30 00:00:00,2017-09-14 20:11:00,777 days 20:11:00.000000000,777.0
22,0xa929022c9107643515f5c777ce9a910f0d1e490c,18975,296848.76667248,,0,18975,637036.844,340188.0773275134,2021-01-28 12:54:00,2022-07-12 11:31:00,,,42,0.24428611431344,18975,100.0,0.0,100.0,529 days 22:37:00.000000000,,,,529.0,,,1204.228438563327,,,2022-07-12 11:31:00,0 days 05:29:00.000000000,0.0,False,2015-07-30 00:00:00,2021-01-28 12:54:00,2009 days 12:54:00.000000000,2009.0
23,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,82,290000.92186839,,0,82,325002.023205399,35001.101337,2021-05-12 01:01:00,2022-05-16 14:52:00,,,42,0.23865080911286865,82,100.0,0.0,100.0,369 days 13:51:00.000000000,,,,369.0,,,880.7642905295365,,,2022-05-16 14:52:00,57 days 02:08:00.000000000,57.0,False,2015-07-30 00:00:00,2021-05-12 01:01:00,2113 days 01:01:00.000000000,2113.0
