,Address,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Balance,Label,In_amount,Out_amount
0,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,1.32%,18/10/2018 14:59,20/06/2022 20:49,724.0,18/10/2018 15:19,27/01/2022 20:01,449.0,252597,Exchange,1190374.94564073,937777.70926608
1,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,0.8800%,16/08/2019 12:00,04/07/2022 01:27,96.0,02/02/2020 18:43,12/11/2021 14:40,78.0,168010,Exchange,3561658.95006874,3393648.96417153
2,1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,0.6931%,06/02/2019 03:18,06/07/2022 01:40,762.0,10/02/2019 22:58,09/06/2022 23:29,82.0,132324,,231985.42840427,99661.88448603
3,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,0.6566%,17/06/2019 13:52,13/06/2022 22:41,45.0,,,,125351,Exchange,125351.13665929,0.0
4,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,0.5304%,13/11/2018 15:11,18/06/2022 15:28,198.0,13/11/2018 15:11,16/06/2022 01:47,196.0,101266,Exchange,1908738.66090492,1807472.66090492
5,bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,0.4957%,01/02/2022 05:14,09/07/2022 06:59,45.0,,,,94643,,94643.30460205,0.0
6,37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,0.4950%,06/09/2019 05:30,03/06/2022 16:56,133.0,04/07/2021 05:56,04/07/2021 06:10,2.0,94505,,94506.06038446,0.71840334
7,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.4188%,01/03/2011 11:26,09/07/2022 06:59,425.0,,,,79957,,79957.21864214,0.0
8,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,0.3634%,03/11/2020 22:31,17/06/2022 00:52,47.0,,,,69370,,69370.17661874,0.0
9,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,0.3368%,11/10/2021 14:39,17/06/2022 00:52,19.0,,,,64300,,64300.0001455,0.0
10,3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNSÂ 2-of-3,0.3217%,25/08/2015 02:28,11/07/2022 17:37,1624.0,25/08/2015 22:44,11/07/2022 17:37,1469.0,61419,Exchange,,
11,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,0.2822%,28/05/2014 00:49,09/07/2022 06:59,136.0,,,,53880,,53880.06216317,0.0
12,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,0.2715%,07/01/2018 15:45,18/06/2022 09:55,109.0,,,,51830,,51830.39700631,0.0
13,35PPdr9CSZuqwi2S7vj9ResHQCVTsYuB3z,0.2648%,09/07/2022 06:55,09/07/2022 06:55,1.0,,,,50562,,50562.37086213,0.0
14,bc1qmxjefnuy06v345v6vhwpwt05dztztmx4g3y7wp,0.2610%,25/03/2022 18:03,17/06/2022 00:52,8.0,,,,49826,,49825.72376945,0.0
15,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,0.2472%,08/10/2021 09:14,12/07/2022 13:20,405985.0,12/10/2021 09:03,12/07/2022 13:20,403015.0,47191,Exchange,30133798.68544683,30086441.90307262
16,1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,0.2305%,24/11/2019 16:11,17/06/2022 00:52,41.0,,,,44000,,44000.08631077,0.0
17,1HiCfvt2NMyoTdUtjBApabZFCd5myJWJzG,0.2041%,07/06/2022 10:17,17/06/2022 00:52,42.0,,,,38962,,38962.38392942,0.0
18,3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,0.1987%,24/10/2021 17:14,17/06/2022 00:52,4.0,,,,37927,,37926.9774951,0.0
19,3LCGsSmfr24demGvriN4e3ft8wEcDuHFqhÂ 2-of-2,0.1944%,01/10/2019 05:09,12/07/2022 12:48,5115.0,09/10/2019 06:48,12/07/2022 09:23,4747.0,37115,Exchange,,
20,3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,0.1907%,02/11/2018 21:14,07/07/2022 21:12,3850.0,04/11/2018 17:08,27/06/2022 23:13,3841.0,36400,Exchange,3721589.43839942,3685188.94939042
21,bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,0.1886%,27/07/2021 15:54,17/06/2022 00:52,19.0,,,,36000,,36000.4135244,0.0
22,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67Â 2-of-6,0.1784%,14/03/2016 23:20,27/06/2022 22:49,292.0,15/03/2016 18:57,17/06/2022 13:45,212.0,34067,Exchange,,
23,bc1qcdeadk07jkthules0yw9u9ue9pklvr608ez94jgwcf7h2ldzcg6qwxp9er,0.1705%,15/06/2022 08:25,23/06/2022 01:21,3.0,,,,32542,,32542.42766444,0.0
24,12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,0.1693%,13/12/2020 14:01,17/06/2022 00:52,26.0,12/04/2022 07:39,23/04/2022 14:41,10.0,32321,,355727.99892778,323406.99893568
25,bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,0.1657%,12/05/2020 02:57,17/06/2022 00:52,4722.0,20/07/2020 04:53,20/07/2020 04:53,1.0,31643,,31650.58088253,7.19867738
26,3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,0.1638%,26/07/2021 16:25,23/06/2022 01:21,4.0,,,,31275,,31275.34587166,0.0
27,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,0.1624%,13/05/2010 10:22,30/06/2022 09:04,138.0,02/06/2010 12:57,25/07/2010 01:35,4.0,31000,,52700.07069388,21700.0
28,385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,0.1519%,21/12/2018 02:16,13/05/2022 20:17,123.0,09/01/2019 23:58,13/05/2022 20:17,73.0,29002,Exchange,3410451.243098,3381449.38375559
29,bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz456m,0.1487%,14/11/2021 14:38,17/06/2022 00:52,76.0,03/02/2022 03:05,17/05/2022 05:25,32.0,28392,,47305.19336995,18913.04459413
30,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,0.1475%,06/04/2010 00:47,17/06/2022 00:52,140.0,,,,28151,,28151.05861225,0.0
