,Address,Total,Balance,Label,Outs,Last Out,First Out,Ins,Last In,First In,In_amount,Out_amount
0,0x00000000219ab540356cbb839cbe05303d7705fa,20603,13022805.000069,,0,,,20603,12/07/2022 15:03,20/11/2020 15:03,13022981.000069,0.0
1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8723819,4682718.56006633,,0,,,8723819,12/07/2022 15:31,18/01/2017 15:31,16991781.741911076,18165949.528741516
2,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,68,2113030.00445455,Exchange,1,31/03/2021 21:17,31/03/2021 21:17,67,12/07/2022 11:44,23/03/2021 00:55,2113030.0544545576,0.0448655
3,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,1093,1996008.27987735,Exchange,962,30/05/2022 03:20,21/10/2018 12:19,131,21/05/2022 21:16,28/09/2018 03:38,6752538.403171879,4756526.331855607
4,0x73bceb1cd57c711feac4224d062b0f6ff338501e,513,1944286.01128049,,104,24/06/2022 21:36,10/02/2019 21:23,409,06/07/2022 06:35,06/02/2019 02:04,2631147.539967664,686860.77220417
5,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,105,1490000.0181027,,0,,,105,04/07/2022 06:46,12/11/2019 02:52,1490000.0181027092,0.0
6,0x742d35cc6634c0532925a3b844bc454e4438f44e,17125,1271479.88900447,Exchange,2045,11/07/2022 21:03,28/04/2018 15:43,15080,11/07/2022 13:33,28/04/2018 15:28,21894787.258988343,20615619.403653983
7,0x07ee55aa48bb72dcc6e9d78256648910de513eca,1233,773995.27049071,Exchange,0,,,1233,08/07/2022 16:41,08/08/2016 17:51,7663996.347131717,6900001.076641
8,0xf977814e90da44bfa03b6295a0616a897441acec,8696,678420.83172747,Exchange,8582,12/07/2022 15:32,09/07/2019 14:54,114,20/06/2022 06:28,09/07/2019 14:49,846664.0004842399,430000.0
9,0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,50,662302.30707891,,0,,,50,05/01/2022 00:47,22/12/2021 18:11,1436556.122846114,774102.643432135
10,0x28c6c06298d514db089934071355e5743bf21d60,7176663,535758.91388538,Exchange,100000,12/07/2022 15:45,22/04/2021 15:45,100000,12/07/2022 15:01,22/04/2021 15:45,50751746.812021784,50183781.85260457
