;Address;Bal;% of coins;First In;Last In;Ins;First Out;Last Out;Outs;Balance;Label
1;34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo;252,597 BTC ($5,012,764,400);1.32%;18/10/2018 14:59;20/06/2022 20:49;724;18/10/2018 15:19;27/01/2022 20:01;449;252,597;Exchange
;wallet: Binance-coldwallet;;;;;;;;;;
2;bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97;168,010 BTC ($3,334,139,709);0.8800%;16/08/2019 12:00;04/07/2022 01:27;96;02/02/2020 18:43;12/11/2021 14:40;78;168,010;Exchange
;wallet: Bitfinex-coldwallet;;;;;;;;;;
3;1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ;132,324 BTC ($2,625,946,189) +134 BTC / +4650 BTC;0.6931%;06/02/2019 03:18;06/07/2022 01:40;762;10/02/2019 22:58;09/06/2022 23:29;82;132,324;
4;3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb;125,351 BTC ($2,487,579,533) / +8750 BTC;0.6566%;17/06/2019 13:52;13/06/2022 22:41;45;;;;125,351;Exchange
;wallet: Binance-BTCB-Reserve;;;;;;;;;;
5;3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6;101,266 BTC ($2,009,612,643) / +48094 BTC;0.5304%;13/11/2018 15:11;18/06/2022 15:28;198;13/11/2018 15:11;16/06/2022 01:47;196;101,266;Exchange
;wallet: Binance-coldwallet;;;;;;;;;;
6;bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt;94,643 BTC ($1,878,185,980);0.4957%;01/02/2022 05:14;09/07/2022 06:59;45;;;;94,643 ;
7;37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs;94,505 BTC ($1,875,448,127);0.4950%;06/09/2019 05:30;03/06/2022 16:56;133;04/07/2021 05:56;04/07/2021 06:10;2;94,505 ;
;wallet: 77604498;;;;;;;;;;
8;1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF;79,957 BTC ($1,586,742,218);0.4188%;01/03/2011 11:26;09/07/2022 06:59;425;;;;79,957 ;
9;bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6;69,370 BTC ($1,376,643,533);0.3634%;03/11/2020 22:31;17/06/2022 00:52;47;;;;69,370 ;
10;bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr;64,300 BTC ($1,276,026,438) / +7000 BTC;0.3368%;11/10/2021 14:39;17/06/2022 00:52;19;;;;64,300 ;
11;3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS 2-of-3;61,419 BTC ($1,218,848,070) -6840 BTC / +4636 BTC;0.3217%;25/08/2015 02:28;11/07/2022 17:37;1624;25/08/2015 22:44;11/07/2022 17:37;1469;61,419 ;Exchange
;wallet: OKEX-coldwallet;;;;;;;;;;
12;1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC;53,880 BTC ($1,069,243,913);0.2822%;28/05/2014 00:49;09/07/2022 06:59;136;;;;53,880 ;
13;1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA;51,830 BTC ($1,028,568,533);0.2715%;07/01/2018 15:45;18/06/2022 09:55;109;;;;51,830 ;
14;35PPdr9CSZuqwi2S7vj9ResHQCVTsYuB3z;50,562 BTC ($1,003,404,694) +50562 BTC / +50562 BTC;0.2648%;09/07/2022 06:55;09/07/2022 06:55;1;;;;50,562 ;
15;bc1qmxjefnuy06v345v6vhwpwt05dztztmx4g3y7wp;49,826 BTC ($988,786,013);0.2610%;25/03/2022 18:03;17/06/2022 00:52;8;;;;49,826 ;
16;bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h;47,191 BTC ($936,505,124) -2411 BTC / +33898 BTC;0.2472%;08/10/2021 09:14;12/07/2022 13:20;405985;12/10/2021 09:03;12/07/2022 13:20;403015;47,191 ;Exchange
;wallet: Binance-wallet;;;;;;;;;;
17;1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os;44,000 BTC ($873,176,878);0.2305%;24/11/2019 16:11;17/06/2022 00:52;41;;;;44,000 ;
18;1HiCfvt2NMyoTdUtjBApabZFCd5myJWJzG;38,962 BTC ($773,204,228);0.2041%;07/06/2022 10:17;17/06/2022 00:52;42;;;;38,962 ;
19;3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a;37,927 BTC ($752,656,701);0.1987%;24/10/2021 17:14;17/06/2022 00:52;4;;;;37,927 ;
20;3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh 2-of-2;37,115 BTC ($736,550,642) +18.28 BTC / +1888 BTC;0.1944%;01/10/2019 05:09;12/07/2022 12:48;5115;09/10/2019 06:48;12/07/2022 09:23;4747;37,115 ;Exchange
;wallet: CoinCheck;;;;;;;;;;
21;3JZq4atUahhuA9rLhXLMhhTo133J9rF97j;36,400 BTC ($722,363,705) +211.71 BTC / -20199 BTC;0.1907%;02/11/2018 21:14;07/07/2022 21:12;3850;04/11/2018 17:08;27/06/2022 23:13;3841;36,400 ;Exchange
;wallet: Bitfinex-coldwallet;;;;;;;;;;
22;bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug;36,000 BTC ($714,424,251);0.1886%;27/07/2021 15:54;17/06/2022 00:52;19;;;;36,000 ;
23;38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6;34,067 BTC ($676,055,300) / -10000 BTC;0.1784%;14/03/2016 23:20;27/06/2022 22:49;292;15/03/2016 18:57;17/06/2022 13:45;212;34,067 ;Exchange
;wallet: OKEX-coldwallet;;;;;;;;;;
24;bc1qcdeadk07jkthules0yw9u9ue9pklvr608ez94jgwcf7h2ldzcg6qwxp9er;32,542 BTC ($645,800,901) / +32542 BTC;0.1705%;15/06/2022 08:25;23/06/2022 01:21;3;;;;32,542 ;
25;12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx;32,321 BTC ($641,406,693);0.1693%;13/12/2020 14:01;17/06/2022 00:52;26;12/04/2022 07:39;23/04/2022 14:41;10;32,321 ;
26;bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4;31,643 BTC ($627,959,443);0.1657%;12/05/2020 02:57;17/06/2022 00:52;4722;20/07/2020 04:53;20/07/2020 04:53;1;31,643 ;
27;3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B;31,275 BTC ($620,655,802);0.1638%;26/07/2021 16:25;23/06/2022 01:21;4;;;;31,275 ;
28;12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr;31,000 BTC ($615,192,997);0.1624%;13/05/2010 10:22;30/06/2022 09:04;138;02/06/2010 12:57;25/07/2010 01:35;4;31,000 ;
;wallet: 967;;;;;;;;;;
29;385cR5DM96n1HvBDMzLHPYcw89fZAXULJP;29,002 BTC ($575,538,712);0.1519%;21/12/2018 02:16;13/05/2022 20:17;123;09/01/2019 23:58;13/05/2022 20:17;73;29,002 ;Exchange
;wallet: Bittrex-coldwallet;;;;;;;;;;
30;bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz456m;28,392 BTC ($563,439,073);0.1487%;14/11/2021 14:38;17/06/2022 00:52;76;03/02/2022 03:05;17/05/2022 05:25;32;28,392 ;
31;12tkqA9xSoowkzoERHMWNKsTey55YEBqkv;28,151 BTC ($558,654,665);0.1475%;06/04/2010 00:47;17/06/2022 00:52;140;;;;28,151 ;
32;bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg;27,791 BTC ($551,505,821) +8956 BTC / +7052 BTC;0.1456%;20/08/2020 19:27;12/07/2022 12:21;5289;20/08/2020 22:22;11/07/2022 22:20;5284;27,791 ;
;wallet: 62621121;;;;;;;;;;
33;35c9KmMXzn7wu5TVttu8cB3aUjFzYMtEps;25,160 BTC ($499,299,420) +25160 BTC / +25160 BTC;0.1318%;12/07/2022 00:16;12/07/2022 00:16;12;;;;25,160 ;
