;Address;Bal;% of coins;First In;Last In;Ins;First Out;Last Out;Outs;B;Balance;Label
1;DBs4WcRE7eysKwRxHNX88XZVCQ9M6QSUSz;29,161,944,038 DOGE ($1,793,411,434) / -500000044 DOGE;21.56%;06/02/2021 20:20;23/06/2022 20:36;313;12/04/2021 09:14;23/06/2022 20:36;72;29,161,944,038;29161944038;Exchange
;wallet: Robinhood;;;;;;;;;;;
2;DE5opaXjFgDhFBqL6tBDxTAQ56zkX6EToX;7,247,474,403 DOGE ($445,707,716) / -580144332 DOGE;5.36%;17/07/2019 09:41;01/07/2022 13:36;276;17/07/2019 10:27;25/06/2022 01:55;229;7,247,474,403 ;7247474403 ;Exchange
;wallet: Binance;;;;;;;;;;;
3;DRSqEwcnJX3GZWH9Twtwk8D5ewqdJzi13k;6,850,847,195 DOGE ($421,315,797) +10216737 DOGE / -176967649 DOGE;5.07%;24/09/2019 03:35;06/07/2022 04:08;6024;11/11/2019 10:48;26/06/2022 04:41;5928;6,850,847,195 ;6850847195 ;
;wallet: 2352874;;;;;;;;;;;
4;DNgY1uss7Q7LkSewUXWiRhwBFk5N84aF71;5,443,867,629 DOGE ($334,788,875);4.03%;30/03/2021 00:28;07/06/2022 21:09;78;09/05/2021 15:16;28/10/2021 19:27;16;5,443,867,629 ;5443867629 ;Exchange
;wallet: Robinhood;;;;;;;;;;;
5;DDTtqnuZ5kfRT5qh2c7sNtqrJmV3iXYdGG;5,031,001,896 DOGE ($309,398,314);3.72%;11/01/2014 10:15;01/06/2022 03:03;592;13/01/2014 11:26;13/01/2014 11:26;1;5,031,001,896 ;5031001896 ;Exchange
;wallet: Cryptsy;;;;;;;;;;;
6;DH5yaieqoZN36fDVciNyRueRGvGLR3mr7L;2,532,571,944 DOGE ($155,748,995);1.87%;06/02/2019 03:04;21/04/2022 14:14;1261;10/02/2019 21:12;06/06/2022 23:05;98;2,532,571,944 ;2532571944 ;Exchange
;wallet: Robinhood;;;;;;;;;;;
7;DGottmgfevJzhhfmvGdA2JpMjMJ1DsSKjJ;2,381,615,532 DOGE ($146,465,425);1.76%;27/01/2022 15:01;09/02/2022 03:57;7;25/04/2022 17:17;25/04/2022 17:17;6;2,381,615,532 ;2381615532 ;Exchange
;wallet: Binance;;;;;;;;;;;
8;DDogepartyxxxxxxxxxxxxxxxxxxw1dfzr;1,854,583,757 DOGE ($114,053,841);1.37%;12/08/2014 19:30;05/07/2022 16:59;3364;;;;1,854,583,757 ;1854583757 ;
;wallet: Dogeparty-XDP-burned;;;;;;;;;;;
9;DGmzv39riELTuigZCUD6sWoHEHPdSbxdUB;1,400,000,007 DOGE ($86,097,690);1.04%;23/05/2022 12:48;20/06/2022 21:59;23;;;;1,400,000,007 ;1400000007 ;Exchange
;wallet: Binance;;;;;;;;;;;
10;DHQsfy66JsYSnwjCABFN6NNqW4kHQe63oU;1,332,376,871 DOGE ($81,938,979) +165886247 DOGE / +365680107 DOGE;0.9851%;09/05/2022 23:06;11/07/2022 21:57;172;20/05/2022 18:43;11/07/2022 19:16;162;1,332,376,871 ;1332376871 ;
11;DTXwWCTpM6pP7NtqquiMdBE385AuW1desV;1,270,009,977 DOGE ($78,103,518);0.9390%;14/01/2022 07:48;27/01/2022 03:38;8;;;;1,270,009,977 ;1270009977 ;
12;D9a1Ah7mUNAJwNqHPER4DN9zNLoqcYFDZW;1,000,010,007 DOGE ($61,498,965);0.7394%;13/06/2016 17:13;09/05/2022 04:17;33;;;;1,000,010,007 ;1000010007 ;
13;D8WhgsmFUkf4imvsrwYjdhXL45LPz3bS1S;1,000,000,039 DOGE ($61,498,352);0.7394%;22/02/2018 19:38;29/12/2021 05:21;14;29/03/2018 20:14;29/03/2018 20:14;1;1,000,000,039 ;1000000039 ;Exchange
;wallet: Kraken;;;;;;;;;;;
14;D5zikmZbvK6ReZSFPDVGusqP3qKcJTjo4r;1,000,000,028 DOGE ($61,498,351);0.7394%;25/02/2021 01:47;29/12/2021 05:21;31;14/04/2021 04:23;13/10/2021 01:46;8;1,000,000,028 ;1000000028 ;
15;DEwbsuaPFeHtRKZKxUcxYqttroE4tXkMov;1,000,000,027 DOGE ($61,498,351);0.7394%;09/03/2021 23:30;29/12/2021 05:21;31;12/04/2021 09:13;27/10/2021 02:19;13;1,000,000,027 ;1000000027 ;Exchange
;wallet: Robinhood;;;;;;;;;;;
16;DHPVTGcxbaqPkodQ5vj6h6uDJrkf4Sg9r2;1,000,000,021 DOGE ($61,498,351);0.7394%;12/03/2021 00:27;29/12/2021 05:21;27;07/05/2021 03:17;28/10/2021 19:27;9;1,000,000,021 ;1000000021 ;Exchange
;wallet: Robinhood;;;;;;;;;;;
17;DHP3EmUAhAvWD8w4VTgn4FH37cduDhgKAA;1,000,000,007 DOGE ($61,498,350);0.7394%;25/03/2021 23:19;29/12/2021 05:21;28;12/04/2021 09:14;28/10/2021 18:25;11;1,000,000,007 ;1000000007 ;Exchange
;wallet: Robinhood;;;;;;;;;;;
18;DPEzPFx1YAg2AndcYXD9ouPiNT5izSgeHL;995,000,862 DOGE ($61,190,911);0.7357%;09/01/2019 01:28;25/03/2022 04:04;46;10/01/2019 00:14;29/12/2021 21:32;43;995,000,862;995000862;
19;DJVeRemZM842GmvT6WR3PzVkqhqCEUGsDH;915,400,007 DOGE ($56,295,590);0.6768%;14/10/2017 02:54;29/12/2021 05:22;122;07/01/2018 16:36;14/11/2018 02:24;23;915,400,007;915400007;
;wallet: 1303777;;;;;;;;;;;
20;DLCDJhnh6aGotar6b182jpzbNEyXb3C361;883,894,947 DOGE ($54,358,081) -2121319 DOGE / -19808204 DOGE;0.6535%;22/04/2018 01:43;12/07/2022 13:41;241276;22/04/2018 01:46;12/07/2022 13:41;231977;883,894,947;883894947;
21;DTxYRT58AY4rQ5E18PfGzSKaQt6aNjsAxD;800,000,001 DOGE ($49,198,680) / +800000001 DOGE;0.5915%;27/06/2022 19:27;27/06/2022 20:01;2;;;;800,000,001;800000001;
22;D9FV7Ka27RVzS9NPBx3H57TUVi1hb4QS64;753,279,806 DOGE ($46,325,465);0.5570%;17/02/2022 22:42;10/03/2022 02:55;6;;;;753,279,806;753279806;
23;D6LKpBFJaf6moGenC39eXEjzAqLzYiTfdz;712,965,174 DOGE ($43,846,182);0.5271%;25/12/2020 12:40;29/12/2021 05:24;36;28/01/2021 22:27;28/01/2021 22:27;9;712,965,174;712965174;
24;DGogsHSEVxeX5TVDuiJsvwK4af1WSaHgvQ;608,487,914 DOGE ($37,421,003) / +608487914 DOGE;0.4499%;27/06/2022 17:51;27/06/2022 17:51;1;;;;608,487,914;608487914;
25;D6xiMfjQNdcGe9aVXCCUk2PyzWCxfnZww9;560,144,357 DOGE ($34,447,954) / +560144357 DOGE;0.4142%;25/06/2022 01:55;25/06/2022 01:55;1;;;;560,144,357;560144357;
26;D61T1GVeMZM8UHvXKyyD55Ur9efAF2mb5f;519,910,032 DOGE ($31,973,609);0.3844%;09/02/2021 06:47;23/05/2022 15:10;8783;07/03/2021 01:46;26/04/2022 12:24;8141;519,910,032;519910032;Exchange
;wallet: crypto.com;;;;;;;;;;;
27;DJtqonMkvsVr8rVr4Pdf5zYfZrnaLSdnwi;504,716,187 DOGE ($31,039,213);0.3732%;30/08/2018 14:01;12/05/2022 06:19;2500;07/09/2018 10:27;10/05/2021 16:41;1015;504,716,187;504716187;
;wallet: 3337586;;;;;;;;;;;
28;DBpNLLEj13LWr14wm1YH24nuqAjodrjaLL;490,279,746 DOGE ($30,151,395);0.3625%;27/01/2014 12:42;29/12/2021 05:25;97;09/04/2018 15:24;21/07/2021 00:50;26;490,279,746;490279746;
29;DEAWXsx1Ge925D7gn2wC3scwDXLf2svd7T;484,239,906 DOGE ($29,779,955) -2050003 DOGE / +7799913 DOGE;0.3580%;22/06/2021 15:11;11/07/2022 19:58;102;09/10/2021 14:58;11/07/2022 19:58;97;484,239,906;484239906;
30;D5BqFPG9Fw4BL5vrnoWxddeH12W3RXMYZh;481,369,668 DOGE ($29,603,440) / +10000001 DOGE;0.3559%;10/05/2021 21:07;05/07/2022 15:00;53;11/05/2021 00:38;06/12/2021 22:14;14;481,369,668;481369668;
31;DPky8skSdy16gn8yYGFbjVcgqQn39SU8am;453,879,285 DOGE ($27,912,827);0.3356%;02/12/2021 14:05;29/12/2021 05:28;6;09/03/2022 08:01;09/03/2022 08:01;5;453,879,285;453879285;Exchange
;wallet: crypto.com;;;;;;;;;;;
32;DQfmzdceKQTUv7RnnWJ6zxYfCBvxnPn1B8;434,873,911 DOGE ($26,744,028);0.3215%;05/05/2022 19:13;20/06/2022 22:00;6;;;;434,873,911;434873911;
