Rank;Address;Name Tag;BAL;Txn Count;Total;B;Balance;Label;Outs;Last Out;First Out;Ins;Last In;First In
1;0x00000000219ab540356cbb839cbe05303d7705fa;Eth2 Deposit Contract;13,022,805.000069 Ether;206,03;20603;13,022,805.000069 ;13022805.000069 ;;0;;;20603;12/07/2022 15:03;20/11/2022 15:03
2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;Wrapped Ether;4,682,718.56006633 Ether;8,723,819;8723819;4,682,718.56006633 ;4682718.56006633 ;;0;;;8723819;12/07/2022 15:31;18/01/2017 15:31
3;0xda9dfa130df4de4673b89022ee50ff26f6ea73cf;Kraken 13;2,113,030.00445455 Ether;68;68;2,113,030.00445455 ;2113030.00445455 ;Exchange;1;31/03/2021 21:17;31/03/2021 21:17;67;12/07/2022 11:44;23/03/2021 00:55
4;0xbe0eb53f46cd790cd13851d5eff43d12404d33e8;Binance 7;1,996,008.27987735 Ether;1,093;1093;1,996,008.27987735 ;1996008.27987735 ;Exchange;962;30/05/2022 03:20;21/10/2018 12:19;131;21/05/2022 21:16;28/09/2018 03:38
5;0x73bceb1cd57c711feac4224d062b0f6ff338501e;;1,944,286.01128049 Ether;513;513;1,944,286.01128049 ;1944286.01128049 ;;104;24/06/2022 21:36;10/02/2019 21:23;409;06/07/2022 06:35;06/02/2019 02:04
6;0x9bf4001d307dfd62b26a2f1307ee0c0307632d59;;1,490,000.0181027 Ether;105;105;1,490,000.0181027 ;1490000.0181027 ;;0;;;105;04/07/2022 06:46;12/11/2019 02:52
7;0x742d35cc6634c0532925a3b844bc454e4438f44e;Bitfinex 2;1,271,479.88900447 Ether;17,125;17125;1,271,479.88900447 ;1271479.88900447 ;Exchange;2045;11/07/2022 21:03;28/04/2018 15:43;15080;11/07/2022 13:33;28/04/2018 15:28
8;0x07ee55aa48bb72dcc6e9d78256648910de513eca;Gemini: Contract 1;773,995.27049071 Ether;1,233;1233;773,995.27049071 ;773995.27049071 ;Exchange;0;;;1233;08/07/2022 16:41;08/08/2016 17:51
9;0xf977814e90da44bfa03b6295a0616a897441acec;Binance 8;678,420.83172747 Ether;8,696;8696;678,420.83172747 ;678420.83172747 ;Exchange;8582;12/07/2022 15:32;09/07/2019 14:54;114;20/06/2022 06:28;09/07/2019 14:49
10;0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515;Arbitrum: Bridge;662,302.30707891 Ether;50;50;662,302.30707891 ;662302.30707891 ;;0;;;50;05/01/2022 00:47;22/12/2021 18:11
11;0x28c6c06298d514db089934071355e5743bf21d60;Binance 14;535,758.91388538 Ether;7,176,663;7176663;535,758.91388538 ;535758.91388538 ;Exchange;100000;12/07/2022 15:45;22/04/2021 15:45;100000;12/07/2022 15:01;22/04/2021 15:45
12;0xa7efae728d2936e78bda97dc267687568dd593f3;OKEx 3;523,442.86061577 Ether;1,550,394;1550394;523,442.86061577 ;523442.86061577 ;Exchange;100000;12/07/2022 15:48;12/10/2019 15:48;100000;12/07/2022 15:14;12/10/2019 15:48
13;0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5;Compound: cETH Token;521,489.0316658 Ether;283,936;283936;521,489.0316658 ;521489.0316658 ;;0;;;283936;12/07/2022 15:48;07/05/2019 15:48
14;0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea;Gemini 3;479,498.95358134 Ether;351;351;479,498.95358134 ;479498.95358134 ;Exchange;0;;;351;25/06/2022 21:09;27/06/2016 15:58
15;0xe92d1a43df510f82c66382592a047d288f85226f;;450,000.05009572 Ether;82;82;450,000.05009572 ;450000.05009572 ;;1;21/02/2019 05:57;21/02/2019 05:57;81;04/07/2022 06:47;24/02/2019 14:48
16;0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f;Liquity: Active Pool;358,232.00105887 Ether;55;55;358,232.00105887 ;358232.00105887 ;;0;;;55;04/01/2022 11:56;05/04/2021 08:22
17;0x1b3cb81e51011b549d78bf720b0d924ac763a7c2;;347,300.004135 Ether;193;193;347,300.004135 ;347300.004135 ;;3;18/06/2022 19:58;25/04/2022 03:36;190;04/07/2022 06:41;30/07/2015 15:26
18;0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae;EthDev;343,270.35590318 Ether;942;942;343,270.35590318 ;343270.35590318 ;;0;;;942;27/06/2022 15:28;08/08/2015 15:44
19;0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca;;325,000.48164854 Ether;75;75;325,000.48164854 ;325000.48164854 ;;1;08/08/2015 15:44;08/08/2015 15:44;74;04/07/2022 06:48;24/02/2019 14:51
20;0x8484ef722627bf18ca5ae6bcf031c23e6e922b30;Polygon (Matic): Ether Bridge;323,685.14513651 Ether;67;67;323,685.14513651 ;323685.14513651 ;;0;;;67;18/02/2022 19:17;26/08/2020 10:32
21;0x3bfc20f0b9afcace800d73d2191166ff16540258;Polkadot: MultiSig;306,276.63536139 Ether;171;171;306,276.63536139 ;306276.63536139 ;;0;;;171;16/02/2022 03:17;14/09/2017 20:11
22;0xc098b2a3aa256d2140208c3de6543aaef5cd3a94;FTX Exchange 2;298,324.12041728 Ether;3,240,056;3240056;298,324.12041728 ;298324.12041728 ;Exchange;100000;12/07/2022 15:59;14/06/2019 15:58;100000;12/07/2022 15:58;14/06/2019 15:58
23;0xa929022c9107643515f5c777ce9a910f0d1e490c;HECO Chain: Bridge;296,848.76667248 Ether;18,975;18975;296,848.76667248 ;296848.76667248 ;;0;;;18975;12/07/2022 11:31;28/01/2021 12:54
24;0x220866b1a2219f40e72f5c628b65d54268ca3a9d;Vb 3;290,000.92186839 Ether;82;82;290,000.92186839 ;290000.92186839 ;;0;;;82;16/05/2022 14:52;12/05/2021 01:01
25;0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b;;278,615.00541209 Ether;17,098;17098;278,615.00541209 ;278615.00541209 ;;1112;05/07/2022 10:08;25/06/2020 08:00;15986;12/07/2022 12:15;25/06/2020 05:32
26;0x8103683202aa8da10536036edef04cdd865c225e;;275,000.02742999 Ether;33;33;275,000.02742999 ;275000.02742999 ;;1;21/02/2019 09:20;21/02/2019 09:20;32;04/07/2022 06:49;24/02/2019 14:51
27;0x0a4c79ce84202b03e95b7a692e5d728d83c44c76;;254,248.45401794 Ether;38;38;254,248.45401794 ;254248.45401794 ;;1;17/04/2017 19:22;17/04/2017 19:22;37;04/07/2022 06:43;17/04/2017 19:19
28;0x6eb6052e8f14fdc19d0a5d697b26d2ffb88345c6;;250,000.048278 Ether;3;3;250,000.048278 ;250000.048278 ;;1;29/06/2022 14:09;29/06/2022 14:09;2;29/06/2022 15:29;29/06/2022 13:45
29;0x5f0cc098cfef729a0c1072268945d1a5fd57b45d;;250,000.048278 Ether;3;3;250,000.048278 ;250000.048278 ;;1;29/06/2022 14:01;29/06/2022 14:01;2;29/06/2022 15:16;29/06/2022 13:41
30;0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9;;250,000.01705597 Ether;39;39;250,000.01705597 ;250000.01705597 ;;0;;;39;04/07/2022 06:51;30/07/2015 15:26
31;0x176f3dab24a159341c0509bb36b833e7fdd0a132;;247,646.55654873 Ether;121;121;247,646.55654873 ;247646.55654873 ;;29;29/06/2022 11:42;26/11/2021 06:38;92;04/07/2022 06:50;26/11/2021 06:27
32;0x9acb5ce4878144a74eeededa54c675aa59e0d3d2;;247,439.4809452 Ether;7;7;247,439.4809452 ;247439.4809452 ;;0;;;7;16/06/2022 06:13;20/04/2022 16:00
33;0x189b9cbd4aff470af2c0102f365fc1823d857965;;245,807.45957569 Ether;1,397;1397;245,807.45957569 ;245807.45957569 ;;432;12/07/2022 07:19;"	2019-10-23 6:12:48";965;12/07/2022 09:10;09/10/2019 01:42
34;0x9845e1909dca337944a0272f1f9f7249833d2d19;;235,001.21828349 Ether;34;34;235,001.21828349 ;235001.21828349 ;;1;08/10/2020 06:27;08/10/2020 06:27;33;04/07/2022 06:52;08/10/2020 06:24
35;0x7b0419581eb2e34b4d3bfc1689f1bd855d364d9d;;231,927.78796174 Ether;3;3;231,927.78796174 ;231927.78796174 ;;0;;;3;04/07/2022 06:54;23/06/2022 20:16
36;0x78605df79524164911c144801f41e9811b7db73d;BitDAO: Treasury;220,473.68847312 Ether;54;54;220,473.68847312 ;220473.68847312 ;;0;;;54;30/06/2022 04:13;21/06/2021 07:57
37;0x0548f59fee79f8832c299e01dca5c76f034f558e;OTC: 0x054...58e;218,239.89087634 Ether;10,171;10171;218,239.89087634 ;218239.89087634 ;;7347;12/07/2022 15:38;"	2020-05-26 20:14:32";2824;12/07/2022 15:38;26/05/2020 19:20
38;0x59448fe20378357f206880c58068f095ae63d5a5;Bitfinex 9;215,368.75591044 Ether;28;28;215,368.75591044 ;215368.75591044 ;Exchange;0;;;28;26/12/2021 11:26;26/12/2021 11:24
39;0x25eaff5b179f209cf186b1cdcbfa463a69df4c45;Blockfolio;209,616.60078014 Ether;246,05;24605;209,616.60078014 ;209616.60078014 ;Exchange;10000;12/07/2022 16:13;14/04/2020 16:13;10000;12/07/2022 16:13;14/04/2020 16:13
40;0xbddf00563c9abd25b576017f08c46982012f12be;;203,815.187217 Ether;295;295;203,815.187217 ;203815.187217 ;;0;;;295;09/07/2022 02:58;21/04/2021 01:51
