;Address;Bal;B;Balance;Label
1;DBs4WcRE7eysKwRxHNX88XZVCQ9M6QSUSz;29,161,944,038 DOGE ($1,793,411,434) / -500000044 DOGE;29,161,944,038;29161944038;Exchange
;wallet: Robinhood;;;;
2;DE5opaXjFgDhFBqL6tBDxTAQ56zkX6EToX;7,247,474,403 DOGE ($445,707,716) / -580144332 DOGE;7,247,474,403 ;7247474403 ;Exchange
;wallet: Binance;;;;
3;DRSqEwcnJX3GZWH9Twtwk8D5ewqdJzi13k;6,850,847,195 DOGE ($421,315,797) +10216737 DOGE / -176967649 DOGE;6,850,847,195 ;6850847195 ;
;wallet: 2352874;;;;
4;DNgY1uss7Q7LkSewUXWiRhwBFk5N84aF71;5,443,867,629 DOGE ($334,788,875);5,443,867,629 ;5443867629 ;Exchange
;wallet: Robinhood;;;;
5;DDTtqnuZ5kfRT5qh2c7sNtqrJmV3iXYdGG;5,031,001,896 DOGE ($309,398,314);5,031,001,896 ;5031001896 ;Exchange
;wallet: Cryptsy;;;;
6;DH5yaieqoZN36fDVciNyRueRGvGLR3mr7L;2,532,571,944 DOGE ($155,748,995);2,532,571,944 ;2532571944 ;Exchange
;wallet: Robinhood;;;;
7;DGottmgfevJzhhfmvGdA2JpMjMJ1DsSKjJ;2,381,615,532 DOGE ($146,465,425);2,381,615,532 ;2381615532 ;Exchange
;wallet: Binance;;;;
8;DDogepartyxxxxxxxxxxxxxxxxxxw1dfzr;1,854,583,757 DOGE ($114,053,841);1,854,583,757 ;1854583757 ;
;wallet: Dogeparty-XDP-burned;;;;
9;DGmzv39riELTuigZCUD6sWoHEHPdSbxdUB;1,400,000,007 DOGE ($86,097,690);1,400,000,007 ;1400000007 ;Exchange
;wallet: Binance;;;;
10;DHQsfy66JsYSnwjCABFN6NNqW4kHQe63oU;1,332,376,871 DOGE ($81,938,979) +165886247 DOGE / +365680107 DOGE;1,332,376,871 ;1332376871 ;
11;DTXwWCTpM6pP7NtqquiMdBE385AuW1desV;1,270,009,977 DOGE ($78,103,518);1,270,009,977 ;1270009977 ;
12;D9a1Ah7mUNAJwNqHPER4DN9zNLoqcYFDZW;1,000,010,007 DOGE ($61,498,965);1,000,010,007 ;1000010007 ;
13;D8WhgsmFUkf4imvsrwYjdhXL45LPz3bS1S;1,000,000,039 DOGE ($61,498,352);1,000,000,039 ;1000000039 ;Exchange
;wallet: Kraken;;;;
14;D5zikmZbvK6ReZSFPDVGusqP3qKcJTjo4r;1,000,000,028 DOGE ($61,498,351);1,000,000,028 ;1000000028 ;
