Rank;Address;Name Tag;BAL;B;Balance;Label
1;0x00000000219ab540356cbb839cbe05303d7705fa;Eth2 Deposit Contract;13,022,805.000069 Ether;13,022,805.000069 ;13022805.000069 ;
2;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;Wrapped Ether;4,682,718.56006633 Ether;4,682,718.56006633 ;4682718.56006633 ;
3;0xda9dfa130df4de4673b89022ee50ff26f6ea73cf;Kraken 13;2,113,030.00445455 Ether;2,113,030.00445455 ;2113030.00445455 ;Exchange
4;0xbe0eb53f46cd790cd13851d5eff43d12404d33e8;Binance 7;1,996,008.27987735 Ether;1,996,008.27987735 ;1996008.27987735 ;Exchange
5;0x73bceb1cd57c711feac4224d062b0f6ff338501e;;1,944,286.01128049 Ether;1,944,286.01128049 ;1944286.01128049 ;
6;0x9bf4001d307dfd62b26a2f1307ee0c0307632d59;;1,490,000.0181027 Ether;1,490,000.0181027 ;1490000.0181027 ;
7;0x742d35cc6634c0532925a3b844bc454e4438f44e;Bitfinex 2;1,271,479.88900447 Ether;1,271,479.88900447 ;1271479.88900447 ;Exchange
8;0x07ee55aa48bb72dcc6e9d78256648910de513eca;Gemini: Contract 1;773,995.27049071 Ether;773,995.27049071 ;773995.27049071 ;Exchange
9;0xf977814e90da44bfa03b6295a0616a897441acec;Binance 8;678,420.83172747 Ether;678,420.83172747 ;678420.83172747 ;Exchange
10;0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515;Arbitrum: Bridge;662,302.30707891 Ether;662,302.30707891 ;662302.30707891 ;
11;0x28c6c06298d514db089934071355e5743bf21d60;Binance 14;535,758.91388538 Ether;535,758.91388538 ;535758.91388538 ;Exchange
12;0xa7efae728d2936e78bda97dc267687568dd593f3;OKEx 3;523,442.86061577 Ether;523,442.86061577 ;523442.86061577 ;Exchange
13;0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5;Compound: cETH Token;521,489.0316658 Ether;521,489.0316658 ;521489.0316658 ;
14;0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea;Gemini 3;479,498.95358134 Ether;479,498.95358134 ;479498.95358134 ;Exchange
15;0xe92d1a43df510f82c66382592a047d288f85226f;;450,000.05009572 Ether;450,000.05009572 ;450000.05009572 ;
