,Address,Balance,Label
1.0,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,252597,Exchange
2.0,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,168010,Exchange
3.0,1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,132324,
4.0,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,125351,Exchange
5.0,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,101266,Exchange
6.0,bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,94643,
7.0,37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,94505,
8.0,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79957,
9.0,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,69370,
10.0,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,64300,
11.0,3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNSÊ2-of-3,61419,Exchange
12.0,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880,
13.0,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,51830,
14.0,35PPdr9CSZuqwi2S7vj9ResHQCVTsYuB3z,50562,
15.0,bc1qmxjefnuy06v345v6vhwpwt05dztztmx4g3y7wp,49826,
16.0,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,47191,Exchange
17.0,1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,44000,
18.0,1HiCfvt2NMyoTdUtjBApabZFCd5myJWJzG,38962,
19.0,3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,37927,
20.0,3LCGsSmfr24demGvriN4e3ft8wEcDuHFqhÊ2-of-2,37115,Exchange
21.0,3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,36400,Exchange
22.0,bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,36000,
23.0,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67Ê2-of-6,34067,Exchange
24.0,bc1qcdeadk07jkthules0yw9u9ue9pklvr608ez94jgwcf7h2ldzcg6qwxp9er,32542,
25.0,12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,32321,
26.0,bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,31643,
27.0,3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,31275,
28.0,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,31000,
29.0,385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,29002,Exchange
30.0,bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz456m,28392,
31.0,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,28151,
32.0,bc1q4jchcr7nla277su5lpjzttxp3xg5j8wds5lcwg,27791,
33.0,35c9KmMXzn7wu5TVttu8cB3aUjFzYMtEps,25160,
34.0,17MWdxfjPYP2PYhdy885QtihfbW181r1rn,24495,
35.0,1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2,24181,
36.0,19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,23969,
37.0,3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,23484,Exchange
38.0,14m3sd9HCCFJW4LymahJCKMabAxTK4DAqW,23220,
39.0,1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT,22900,
40.0,18B1dqmRiMVt6mwUrqMUvkT14mChTwdXGT,20180,
41.0,bc1qtw30nantkrh7y5ue73gm4mmy0zezfqxug3psr94sd967qwg7f76scfmr9p,20136,
42.0,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,20008,
43.0,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,19414,
44.0,3K5dmrkBMS8ZVgERMLwiw7PJuG8GWTbo8e,18600,
45.0,3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,16786,Exchange
46.0,39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,16455,
47.0,3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJys,16422,
48.0,15pqaBHFwFEphRqmXAPbs3QRLLPB7e2uMb,16320,
49.0,34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP,16307,
50.0,1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,15746,
51.0,1KUr81aewyTFUfnq4ZrpePZqXixd59ToNn,15000,
52.0,3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJÊ3-of-4,14770,Exchange
53.0,3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9Ê4-of-8,14510,
54.0,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,14500,
55.0,1KVpuCfhftkzJ67ZUegaMuaYey7qni7pPj,14041,
56.0,1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj,14000,
57.0,3EKWP3ZviLXudcoAfzammYQKwaz2zJKwQW,13938,
58.0,36rPiyFi4pZmnAyYbDTABqLN3WcWP6yJXSÊ2-of-5,13500,
59.0,bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa,13003,
60.0,18saWjMCchDTGWunefuDJSWNdz4p6KtfBL,12933,
61.0,1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv,12854,
62.0,3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1,12549,Exchange
63.0,bc1qw0pswznckx7s6tjmd2f5hrx4q6kc5nyrdxku50,12392,
64.0,bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9,12270,
65.0,13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp,12189,
66.0,1FZy7CPFA2UqqQJYUA1cG9KvdDFbSMBJYG,12024,
67.0,3GWUKxq55XsQ7rkzbxAgfSyf6KHp8Ljh3RÊ2-of-3,12000,
68.0,15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv,12000,
69.0,bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7q,11992,
70.0,1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,11400,
71.0,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,11102,Exchange
72.0,3EEDeu13ex19AqQBTZStVsAFy6j1gRwgWcÊ2-of-3,11062,
73.0,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,10771,
74.0,35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6Ê2-of-3,10768,
75.0,bc1qhd0r5kh3u9mhac7de58qd2rdfx4kkv84kpx302,10500,
76.0,bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40,10297,
77.0,bc1qu5mhu0nghreufhrvp8rrnuftlmukjhdarw8hxscjmwxxpf7csqnsnpy60t,10296,
78.0,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,10009,
79.0,bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq,10002,
80.0,bc1qtef0p08lputg4qazhx2md43ynhc9kp20pn297qnz68068d9z48asmemanj,10001,
81.0,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,10000,
82.0,bc1qe75775tzuvspl59cw77ycc472jl0sgue69x3up,10000,
83.0,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,10000,
84.0,1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,10000,
85.0,35WHp4Hid61peyH4tuhNunwRj2gtNB41Lo,10000,
86.0,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,10000,
87.0,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,10000,
88.0,12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,10000,
89.0,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,10000,
90.0,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,10000,
91.0,1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK,10000,
92.0,bc1q5nfww5jn5k4ghg7dpa4gy85x7uu3l4g0m0re76,10000,
93.0,bc1q4srun4yspqem2pqgk47eq9jspcht3fmyrmfdeu,10000,
94.0,bc1qe39l9l84sa44r9j2jjkgdc7p4ltj3sracd932k,10000,
95.0,bc1qvy0sp8cdj3cv2wwh05scucxw6vxqpdlhfjvqn8,10000,
