,Address,% of coins,First In,Last In,Ins,First Out,Last Out,Outs,Balance,Label,In_amount,Out_amount
1,DE5opaXjFgDhFBqL6tBDxTAQ56zkX6EToX,5.36%,17/07/2019 09:41,01/07/2022 13:36,276.0,17/07/2019 10:27,25/06/2022 01:55,229.0,7247474403.0,Exchange,38936381328.42957,31688906925.38636
2,DRSqEwcnJX3GZWH9Twtwk8D5ewqdJzi13k,5.07%,24/09/2019 03:35,06/07/2022 04:08,6024.0,11/11/2019 10:48,26/06/2022 04:41,5928.0,6850847195.0,,6013217937.722649,-837629257.7746413
3,DNgY1uss7Q7LkSewUXWiRhwBFk5N84aF71,4.03%,30/03/2021 00:28,07/06/2022 21:09,78.0,09/05/2021 15:16,28/10/2021 19:27,16.0,5443867629.0,Exchange,7962395101.452212,2518527472.0
4,DDTtqnuZ5kfRT5qh2c7sNtqrJmV3iXYdGG,3.72%,11/01/2014 10:15,01/06/2022 03:03,592.0,13/01/2014 11:26,13/01/2014 11:26,1.0,5031001896.0,Exchange,5032001896.082205,999999.9
5,DH5yaieqoZN36fDVciNyRueRGvGLR3mr7L,1.87%,06/02/2019 03:04,21/04/2022 14:14,1261.0,10/02/2019 21:12,06/06/2022 23:05,98.0,2532571944.0,Exchange,55812851353.60029,53280279409.34333
6,DGottmgfevJzhhfmvGdA2JpMjMJ1DsSKjJ,1.76%,27/01/2022 15:01,09/02/2022 03:57,7.0,25/04/2022 17:17,25/04/2022 17:17,6.0,2381615532.0,Exchange,2381615537.9938173,6.04121222
7,DDogepartyxxxxxxxxxxxxxxxxxxw1dfzr,1.37%,12/08/2014 19:30,05/07/2022 16:59,3364.0,,,,1854583757.0,,1854583756.8710945,0.0
8,DGmzv39riELTuigZCUD6sWoHEHPdSbxdUB,1.04%,23/05/2022 12:48,20/06/2022 21:59,23.0,,,,1400000007.0,Exchange,1400000006.9212122,0.0
9,DHQsfy66JsYSnwjCABFN6NNqW4kHQe63oU,0.9851%,09/05/2022 23:06,11/07/2022 21:57,172.0,20/05/2022 18:43,11/07/2022 19:16,162.0,1332376871.0,,4946581074.527904,3614204203.202801
10,DTXwWCTpM6pP7NtqquiMdBE385AuW1desV,0.9390%,14/01/2022 07:48,27/01/2022 03:38,8.0,,,,1270009977.0,,1270009976.6500924,0.0
11,D9a1Ah7mUNAJwNqHPER4DN9zNLoqcYFDZW,0.7394%,13/06/2016 17:13,09/05/2022 04:17,33.0,,,,1000010007.0,,1000010007.0612122,0.0
12,D8WhgsmFUkf4imvsrwYjdhXL45LPz3bS1S,0.7394%,22/02/2018 19:38,29/12/2021 05:21,14.0,29/03/2018 20:14,29/03/2018 20:14,1.0,1000000039.0,Exchange,1000000040.7286316,2.0
13,D5zikmZbvK6ReZSFPDVGusqP3qKcJTjo4r,0.7394%,25/02/2021 01:47,29/12/2021 05:21,31.0,14/04/2021 04:23,13/10/2021 01:46,8.0,1000000028.0,,2739991373.421594,1739991345.0
14,DEwbsuaPFeHtRKZKxUcxYqttroE4tXkMov,0.7394%,09/03/2021 23:30,29/12/2021 05:21,31.0,12/04/2021 09:13,27/10/2021 02:19,13.0,1000000027.0,Exchange,3215332543.041212,2215332516.0
15,DHPVTGcxbaqPkodQ5vj6h6uDJrkf4Sg9r2,0.7394%,12/03/2021 00:27,29/12/2021 05:21,27.0,07/05/2021 03:17,28/10/2021 19:27,9.0,1000000021.0,Exchange,2694380245.041212,1694380224.0
16,DHP3EmUAhAvWD8w4VTgn4FH37cduDhgKAA,0.7394%,25/03/2021 23:19,29/12/2021 05:21,28.0,12/04/2021 09:14,28/10/2021 18:25,11.0,1000000007.0,Exchange,2803884572.041212,1803884565.0
17,DPEzPFx1YAg2AndcYXD9ouPiNT5izSgeHL,0.7357%,09/01/2019 01:28,25/03/2022 04:04,46.0,10/01/2019 00:14,29/12/2021 21:32,43.0,995000862.0,,51883552460.12671,50888551598.071205
18,DJVeRemZM842GmvT6WR3PzVkqhqCEUGsDH,0.6768%,14/10/2017 02:54,29/12/2021 05:22,122.0,07/01/2018 16:36,14/11/2018 02:24,23.0,915400007.0,,1129899440.4412122,214499433.4
19,DLCDJhnh6aGotar6b182jpzbNEyXb3C361,0.6535%,22/04/2018 01:43,12/07/2022 13:41,241276.0,22/04/2018 01:46,12/07/2022 13:41,231977.0,883894947.0,,1887265608.208924,1004291196.2950103
20,DTxYRT58AY4rQ5E18PfGzSKaQt6aNjsAxD,0.5915%,27/06/2022 19:27,27/06/2022 20:01,2.0,,,,800000001.0,,800000001.0,0.0
21,D9FV7Ka27RVzS9NPBx3H57TUVi1hb4QS64,0.5570%,17/02/2022 22:42,10/03/2022 02:55,6.0,,,,753279806.0,,753279806.4896266,0.0
22,D6LKpBFJaf6moGenC39eXEjzAqLzYiTfdz,0.5271%,25/12/2020 12:40,29/12/2021 05:24,36.0,28/01/2021 22:27,28/01/2021 22:27,9.0,712965174.0,,1162965174.0673892,450000000.0
23,DGogsHSEVxeX5TVDuiJsvwK4af1WSaHgvQ,0.4499%,27/06/2022 17:51,27/06/2022 17:51,1.0,,,,608487914.0,,608487913.9584299,0.0
24,D6xiMfjQNdcGe9aVXCCUk2PyzWCxfnZww9,0.4142%,25/06/2022 01:55,25/06/2022 01:55,1.0,,,,560144357.0,,560144356.9977355,0.0
25,D61T1GVeMZM8UHvXKyyD55Ur9efAF2mb5f,0.3844%,09/02/2021 06:47,23/05/2022 15:10,8783.0,07/03/2021 01:46,26/04/2022 12:24,8141.0,519910032.0,Exchange,3393161001.654619,2873250970.153255
